City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Korla,41.7597,86.1469,23.13,81,45,1.63,CN,1612111888
Punta Arenas,-53.15,-70.9167,57.2,51,0,29.93,CL,1612111810
Jiazi,22.8779,116.067,58.6,86,8,7.16,CN,1612111888
Kirakira,-10.4544,161.9205,79.97,81,100,10.56,SB,1612111888
Arlit,18.7369,7.3853,76.21,15,13,6.96,NE,1612111888
Jamestown,42.097,-79.2353,30.0,86,90,11.5,US,1612111888
Rawson,-43.3002,-65.1023,80.02,26,14,14.99,AR,1612111889
Tasiilaq,65.6145,-37.6368,15.8,57,75,4.29,GL,1612111889
Japura,-0.3167,102.35,73.71,93,96,1.92,ID,1612111889
Jizan,17.3333,42.6667,80.6,69,0,6.91,SA,1612111889
Buin,-33.7333,-70.75,73.0,77,90,6.69,CL,1612111890
Talnakh,69.4865,88.3972,-27.71,72,28,9.53,RU,1612111890
Atuona,-9.8,-139.0333,78.3,75,42,17.72,PF,1612111716
Albany,42.6001,-73.9662,15.01,54,99,2.44,US,1612111890
Hithadhoo,-0.6,73.0833,82.99,76,100,13.56,MV,1612111890
Bredasdorp,-34.5322,20.0403,73.99,71,24,8.01,ZA,1612111890
Richards Bay,-28.783,32.0377,81.46,78,14,13.27,ZA,1612111890
Kaitangata,-46.2817,169.8464,60.01,91,100,0.72,NZ,1612111891
Clyde River,70.4692,-68.5914,3.2,72,75,12.66,CA,1612111891
Coyhaique,-45.5752,-72.0662,69.8,35,20,6.91,CL,1612111891
Tevaitoa,-16.7833,-151.5,81.01,74,98,10.47,PF,1612111891
Henties Bay,-22.116,14.2845,68.0,81,86,11.65,NA,1612111868
Oxford,51.7522,-1.256,37.4,87,90,11.5,GB,1612111891
Hualmay,-11.0964,-77.6139,76.75,64,47,12.82,PE,1612111892
Senador Pompeu,-5.5881,-39.3717,89.92,39,100,5.77,BR,1612111892
Bilibino,68.0546,166.4372,-14.55,84,100,6.44,RU,1612111892
Killybegs,54.6333,-8.45,37.4,93,90,21.85,IE,1612111893
Prince Rupert,54.3161,-130.3201,41.0,86,40,2.3,CA,1612111893
Saint Andrews,34.0454,-81.1293,46.99,93,90,3.44,US,1612111893
Coquimbo,-29.9533,-71.3436,68.0,77,20,13.8,CL,1612111893
Fairbanks,64.8378,-147.7164,-5.8,77,90,0.13,US,1612111893
Iqaluit,63.7506,-68.5145,-9.4,70,75,5.97,CA,1612111826
Caravelas,-17.7125,-39.2481,85.23,57,3,10.6,BR,1612111893
Matara,5.9485,80.5353,76.01,88,1,6.58,LK,1612111894
Busselton,-33.65,115.3333,64.0,82,0,3.0,AU,1612111894
Novo Oriente,-5.5344,-40.7742,86.92,49,100,6.42,BR,1612111894
Zilupe,56.3862,28.1217,24.21,95,99,10.07,LV,1612111894
Thompson,55.7435,-97.8558,12.2,92,90,2.3,CA,1612111710
Rome,43.2128,-75.4557,15.01,67,1,8.05,US,1612111805
Avarua,-21.2078,-159.775,73.4,100,97,1.14,CK,1612111691
Port Hedland,-20.3167,118.5667,80.6,78,90,13.8,AU,1612111852
Glendive,47.1053,-104.7125,24.01,93,1,4.61,US,1612111895
Yulara,-25.2406,130.9889,91.4,24,75,9.22,AU,1612111895
Harper,4.375,-7.7169,81.88,79,30,8.43,LR,1612111719
Olavarría,-36.8927,-60.3225,77.18,22,75,13.58,AR,1612111895
Prince George,53.9166,-122.753,26.6,86,75,10.36,CA,1612111732
Vaini,-21.2,-175.2,75.2,100,90,6.91,TO,1612111895
Bluff,-46.6,168.3333,54.81,84,97,6.64,NZ,1612111717
Olafsvik,64.8945,-23.7142,27.54,94,100,8.93,IS,1612111896
Hokitika,-42.7167,170.9667,50.68,86,8,3.29,NZ,1612111730
Port-Cartier,50.0334,-66.8654,28.0,59,3,4.61,CA,1612111896
Mount Gambier,-37.8333,140.7667,51.8,93,45,4.61,AU,1612111896
Cabedelo,-6.9811,-34.8339,87.8,58,75,16.11,BR,1612111786
Hirara,24.8,125.2833,67.57,70,65,18.54,JP,1612111896
Maun,-19.9833,23.4167,82.4,69,40,4.61,BW,1612111896
Port Elizabeth,-33.918,25.5701,73.4,68,0,13.8,ZA,1612111897
Coari,-4.085,-63.1414,85.48,75,25,5.35,BR,1612111897
Rocha,-34.4833,-54.3333,66.85,75,100,13.65,UY,1612111646
Xichang,27.8964,102.2634,41.22,71,4,2.68,CN,1612111897
Bowling Green,36.9903,-86.4436,51.8,76,90,13.8,US,1612111801
Hamilton,39.1834,-84.5333,37.99,93,90,6.91,US,1612111897
Drochia,48.035,27.8161,28.38,99,100,5.55,MD,1612111897
Mampong,7.0627,-1.4001,95.32,24,15,1.25,GH,1612111897
Port Hardy,50.6996,-127.4199,44.6,93,75,5.75,CA,1612111800
Srednekolymsk,67.45,153.6833,-28.95,85,100,7.63,RU,1612111710
Lebu,-37.6167,-73.65,63.0,70,0,14.29,CL,1612111898
Fortuna,40.5982,-124.1573,53.01,100,90,21.85,US,1612111898
Hong Kong,22.2855,114.1577,66.0,76,46,10.02,HK,1612111840
Cameron Park,38.6688,-120.9872,51.01,65,99,2.42,US,1612111628
Severo-Kuril'sk,50.6789,156.125,21.79,94,99,41.45,RU,1612111899
Cidreira,-30.1811,-50.2056,83.71,67,99,6.44,BR,1612111899
Katsuura,35.1333,140.3,43.0,42,75,6.91,JP,1612111900
Ixtapa,20.7,-105.2,69.8,73,1,4.61,MX,1612111900
Port Alfred,-33.5906,26.891,73.99,77,3,1.99,ZA,1612111632
Zapolyarnyy,69.4154,30.8136,17.6,86,75,2.3,RU,1612111900
Ziarat,30.3823,67.7282,39.04,68,0,2.42,PK,1612111752
Alyangula,-13.8483,136.4192,80.6,94,81,13.18,AU,1612111900
Bodden Town,19.2833,-81.25,84.2,61,20,14.97,KY,1612111901
Husavik,66.0449,-17.3389,6.8,85,0,4.61,IS,1612111901
Half Moon Bay,37.4636,-122.4286,55.0,66,1,6.91,US,1612111901
Paita,-5.0892,-81.1144,84.2,54,0,13.8,PE,1612111901
Merauke,-8.4667,140.3333,79.45,87,100,13.96,ID,1612111901
Namatanai,-3.6667,152.4333,80.13,73,100,3.91,PG,1612111901
Taoudenni,22.6783,-3.9836,85.84,12,0,7.23,ML,1612111741
Puerto Ayacucho,5.6639,-67.6236,93.58,46,31,6.44,VE,1612111902
Egersund,58.4513,5.9997,30.2,100,75,6.91,NO,1612111902
Río Gallegos,-51.6226,-69.2181,71.6,21,0,19.57,AR,1612111680
Itarema,-2.9248,-39.9167,87.58,60,74,16.44,BR,1612111902
Castro,-24.7911,-50.0119,72.27,80,99,8.46,BR,1612111902
Bumba,2.1833,22.4667,80.47,50,92,0.94,CD,1612111903
Tromsø,69.6496,18.957,23.0,93,75,2.3,NO,1612111903
Pacific Grove,36.6177,-121.9166,52.0,87,1,5.75,US,1612111903
Vikulovo,56.8167,70.6107,5.18,94,14,4.85,RU,1612111903
Kargil,34.5667,76.1,0.52,75,100,0.89,IN,1612111903
Lambaré,-25.3468,-57.6065,80.6,74,40,6.91,PY,1612111903
Torbay,47.6666,-52.7314,33.01,100,90,17.27,CA,1612111904
Forsytheganj,52.6333,29.7333,20.34,96,51,10.29,BY,1612111904
Turan,16.0678,108.2208,69.8,88,40,1.14,VN,1612111904
Provideniya,64.3833,-173.3,-8.12,87,100,24.7,RU,1612111904
Waingapu,-9.6567,120.2641,78.57,83,100,10.96,ID,1612111904
Kampong Thom,12.7111,104.8887,74.7,54,28,4.88,KH,1612111904
Ambilobe,-13.2,49.05,76.69,90,93,1.28,MG,1612111730
Moindou,-21.6924,165.677,69.8,88,90,4.61,NC,1612111905
Bonoua,5.2741,-3.595,86.0,66,20,13.8,CI,1612111905
Kigoma,-4.8769,29.6267,77.0,71,95,3.53,TZ,1612111905
São José da Coroa Grande,-8.8978,-35.1478,83.57,66,43,11.43,BR,1612111905
Esmeraldas,-19.7625,-44.3139,87.8,42,40,8.05,BR,1612111905
Bariloche,-41.1456,-71.3082,64.4,48,75,10.36,AR,1612111659
Khatanga,71.9667,102.5,-44.72,79,49,4.63,RU,1612111906
Nanortalik,60.1432,-45.2371,33.44,86,100,7.67,GL,1612111906
Lompoc,34.6391,-120.4579,51.01,100,1,8.05,US,1612111906
Wamba,8.9333,8.6,92.34,11,10,3.85,NG,1612111906
Loreto,22.2667,-101.9667,71.08,23,0,11.25,MX,1612111906
Maceió,-9.6658,-35.7353,87.8,62,75,10.36,BR,1612111906
Tautira,-17.7333,-149.15,77.0,69,40,4.61,PF,1612111906
Saint Paul Harbor,57.79,-152.4072,28.4,46,1,6.91,US,1612111907
Kumul,42.8,93.45,25.79,79,9,7.05,CN,1612111907
Muros,42.7762,-9.0603,59.0,87,100,7.0,ES,1612111907
Los Llanos de Aridane,28.6585,-17.9182,69.8,68,20,12.66,ES,1612111907
Corleone,37.8134,13.3017,51.01,89,43,8.99,IT,1612111907
Geraldton,-28.7667,114.6,73.4,78,0,11.5,AU,1612111907
Ludvika,60.1496,15.1878,17.01,92,90,2.3,SE,1612111907
Port Keats,-14.25,129.55,76.66,93,100,2.91,AU,1612111908
Coos Bay,43.3665,-124.2179,48.99,100,90,4.61,US,1612111876
Dikson,73.5069,80.5464,-28.39,78,33,8.21,RU,1612111715
Loa Janan,-0.583,117.095,72.77,96,99,1.9,ID,1612111908
Sémbé,1.6481,14.5806,78.33,80,89,2.17,CG,1612111909
George Town,5.4112,100.3354,80.6,78,20,3.44,MY,1612111909
Marawi,7.9986,124.2928,75.99,91,100,1.99,PH,1612111909
Hilo,19.7297,-155.09,68.0,88,90,4.61,US,1612111909
Dauriya,49.9333,116.8667,-26.43,82,9,5.53,RU,1612111909
New Norfolk,-42.7826,147.0587,57.99,68,51,2.26,AU,1612111909
Butaritari,3.0707,172.7902,80.58,82,66,14.18,KI,1612111909
Longyearbyen,78.2186,15.6401,-4.0,45,20,18.41,SJ,1612111909
Yuncheng,35.0231,110.9928,40.62,52,41,1.23,CN,1612111910
Upernavik,72.7868,-56.1549,0.23,91,100,8.79,GL,1612111910
Kaeo,-35.1,173.7833,55.0,93,0,3.0,NZ,1612111910
Lerwick,60.1545,-1.1494,33.8,86,20,6.91,GB,1612111910
Hobart,-42.8794,147.3294,60.8,72,36,6.91,AU,1612111910
Vågåmo,61.8751,9.0967,11.41,83,34,4.41,NO,1612111910
Porteirinha,-15.7433,-43.0283,92.53,28,1,8.59,BR,1612111910
Regina,50.4501,-104.6178,-0.4,84,75,6.91,CA,1612111709
Khovd,48.0056,91.6419,5.67,87,0,1.74,MN,1612111911
Chokurdakh,70.6333,147.9167,-28.82,85,22,10.2,RU,1612111911
Puerto Ayora,-0.7393,-90.3518,84.2,70,0,13.8,EC,1612111911
Mugan,35.9404,101.3842,18.32,56,0,5.37,CN,1612111911
Guadalupe y Calvo,26.1,-106.9667,64.74,26,61,1.25,MX,1612111911
Beringovskiy,63.05,179.3167,10.71,95,100,25.99,RU,1612111912
Ankazoabo,-22.2833,44.5167,77.52,72,41,5.7,MG,1612111912
Aswān,24.0934,32.907,65.64,25,0,9.01,EG,1612111912
Ponta Delgada,37.7333,-25.6667,64.99,88,75,17.27,PT,1612111912
Brae,60.3964,-1.353,33.8,86,20,6.91,GB,1612111850
Abhā,18.2164,42.5053,62.6,72,0,6.91,SA,1612111912
Mar del Plata,-38.0023,-57.5575,62.6,67,90,16.11,AR,1612111912
Lumeje,-11.55,20.7833,67.12,83,94,4.56,AO,1612111913
Krasnosel'kup,65.7,82.4667,-14.69,89,100,19.1,RU,1612111913
Vaitape,-16.5167,-151.75,80.98,74,100,10.45,PF,1612111913
Baykit,61.67,96.37,-32.3,77,1,0.92,RU,1612111913
Port Augusta,-32.5,137.7667,69.8,78,96,10.36,AU,1612111913
Fare,-16.7,-151.0167,81.07,73,89,9.42,PF,1612111728
Canto do Buriti,-8.11,-42.9444,92.97,39,100,6.73,BR,1612111913
Storforshei,66.4043,14.5233,8.01,84,0,2.3,NO,1612111914
Ribeira Grande,38.5167,-28.7,64.4,88,75,14.97,PT,1612111914
Gold Coast,-28.0,153.4333,73.99,88,90,3.44,AU,1612111914
Palotina,-24.2839,-53.84,73.44,93,100,6.22,BR,1612111871
Ust-Tsilma,65.441,52.1498,13.23,96,93,5.19,RU,1612111914
Walvis Bay,-22.9575,14.5053,69.8,64,12,9.22,NA,1612111914
São Filipe,14.8961,-24.4956,76.24,60,4,11.97,CV,1612111711
Hofn,64.2539,-15.2082,23.0,46,0,11.5,IS,1612111719
Klyuchi,52.2667,79.1667,2.86,93,94,7.49,RU,1612111915
Yumen,40.2833,97.2,24.55,67,0,10.63,CN,1612111915
Middelkerke,51.1558,2.8418,35.6,93,75,12.66,BE,1612111915
Vila Franca do Campo,37.7167,-25.4333,64.99,88,75,17.27,PT,1612111733
Santa María del Oro,25.9333,-105.3667,62.37,31,57,4.14,MX,1612111915
Bandarbeyla,9.4942,50.8122,75.04,67,0,17.22,SO,1612111915
Karlshamn,56.1706,14.8619,30.99,93,0,4.61,SE,1612111701
High Level,58.5169,-117.136,-7.6,84,20,11.5,CA,1612111916
Flinders,-34.5833,150.8552,68.0,89,100,1.01,AU,1612111868
Makkah al Mukarramah,21.4267,39.8261,76.06,44,0,4.27,SA,1612111916
Goderich,43.7501,-81.7165,24.8,74,100,21.85,CA,1612111916
Souillac,-20.5167,57.5167,82.4,74,75,11.5,MU,1612111916
Mandalgovi,45.7625,106.2708,-10.34,77,38,22.57,MN,1612111916
Lavrentiya,65.5833,-171.0,-9.89,86,100,14.0,RU,1612111714
Mahébourg,-20.4081,57.7,82.4,74,75,11.5,MU,1612111918
Palmas Bellas,9.2319,-80.0867,90.0,58,66,10.0,PA,1612111918
Wiarton,44.7407,-81.1332,24.01,86,90,13.8,CA,1612111918
Kawalu,-7.3817,108.2082,72.64,88,99,2.84,ID,1612111918
North Platte,41.1239,-100.7654,32.0,79,1,5.01,US,1612111918
Arraial do Cabo,-22.9661,-42.0278,87.8,48,0,21.85,BR,1612111811
Nemuro,43.3236,145.575,21.4,89,21,20.87,JP,1612111919
San Patricio,28.017,-97.5169,71.6,33,1,13.8,US,1612111919
Sharlyk,52.9167,54.75,19.49,93,35,12.15,RU,1612111919
Erzin,36.9559,36.2,55.0,79,10,7.96,TR,1612111919
Araouane,18.9048,-3.5265,82.65,12,17,9.13,ML,1612111919
Norman Wells,65.282,-126.8329,-20.2,76,75,3.44,CA,1612111919
Raduzhny,62.0961,77.475,-6.32,90,100,10.69,RU,1612111920
Keti Bandar,24.1447,67.4497,68.34,78,0,8.75,PK,1612111920
Blind River,46.1834,-82.9582,17.6,67,1,13.8,CA,1612111920
Ndendé,-2.4008,11.3581,79.21,88,75,2.44,GA,1612111920
Bestöbe,52.4994,73.0975,11.77,94,100,9.13,KZ,1612111920
Innisfail,-17.5333,146.0333,74.93,90,96,4.43,AU,1612111920
Patna,25.6,85.1167,48.2,87,0,4.27,IN,1612111626
Tura,25.5198,90.2201,54.07,41,0,2.13,IN,1612111921
Alofi,-19.0595,-169.9187,75.2,94,75,4.61,NU,1612111718
Yangi Marg`ilon,40.4272,71.7189,42.8,45,100,6.91,UZ,1612111921
Labuhan,-6.8844,112.2051,78.93,84,100,13.47,ID,1612111921
Ambovombe,-25.1667,46.0833,80.71,80,0,6.11,MG,1612111921
Ahipara,-35.1667,173.1667,56.68,82,0,3.31,NZ,1612111921
Rio Grande,-32.035,-52.0986,84.2,65,75,4.61,BR,1612111810
Qaanaaq,77.484,-69.3632,-3.73,88,100,0.76,GL,1612111922
Vila Velha,-20.3297,-40.2925,88.0,58,20,18.41,BR,1612111922
Oodweyne,9.4092,45.064,69.1,44,1,13.06,SO,1612111922
Cedral,23.8,-100.7333,71.6,29,0,9.08,MX,1612111922
Vestmannaeyjar,63.4427,-20.2734,33.8,69,40,20.71,IS,1612111922
Coahuayana Viejo,18.7333,-103.6833,77.0,50,1,2.66,MX,1612111923
Te Anau,-45.4167,167.7167,49.98,87,95,2.21,NZ,1612111923
Cam Ranh,11.9214,109.1591,73.4,78,20,5.75,VN,1612111647
Chupa,66.27,33.0549,14.99,97,100,2.66,RU,1612111923
Churapcha,62.0025,132.4325,-46.79,77,90,4.9,RU,1612111923
Ketchikan,55.3422,-131.6461,30.2,93,1,4.76,US,1612111851
Grão Mogol,-16.5594,-42.8897,87.75,35,21,3.91,BR,1612111923
Bethel,41.3712,-73.414,21.99,53,1,5.75,US,1612111725
Cracow,43.7424,-82.8199,28.4,69,90,13.8,US,1612111924
Mānsa,29.9833,75.3833,56.23,36,19,4.21,IN,1612111925
Ingham,42.6,-84.3833,28.0,86,90,13.8,US,1612111926
Dunedin,-45.8742,170.5036,57.99,82,100,5.37,NZ,1612111926
Saint-Philippe,-21.3585,55.7679,82.4,61,0,19.57,RE,1612111926
Severomuysk,56.1481,113.4267,-33.57,85,100,7.23,RU,1612111927
Pedro Carbo,-1.8333,-80.2333,84.0,78,75,4.61,EC,1612111927
Kinablangan,7.6947,126.5503,78.1,86,100,8.41,PH,1612111927
Halifax,44.6453,-63.5724,30.99,74,41,9.22,CA,1612111819
Sakakah,29.9697,40.2064,60.8,23,0,7.11,SA,1612111927
Kropotkin,45.4375,40.5756,45.72,82,99,14.47,RU,1612111927
Kahului,20.8947,-156.47,69.8,78,75,6.91,US,1612111715
Rock Springs,41.5875,-109.2029,19.4,73,1,1.81,US,1612111928
Kavieng,-2.5744,150.7967,83.01,81,98,12.01,PG,1612111928
Lingao,19.9103,109.6859,64.63,91,4,7.27,CN,1612111928
Asău,46.4333,26.4,30.99,65,100,4.05,RO,1612111928
Yerbogachën,61.2767,108.0108,-33.88,79,43,5.37,RU,1612111928
Valverde del Camino,37.5751,-6.7543,66.99,67,99,11.99,ES,1612111928
Saskylakh,71.9167,114.0833,-30.91,84,88,8.1,RU,1612111715
Dhidhdhoo,6.8833,73.1,82.26,73,30,9.84,MV,1612111657
Saint-Louis,16.3333,-15.0,94.08,8,97,10.89,SN,1612111929
Ostrovnoy,68.0531,39.5131,13.35,94,94,6.78,RU,1612111929
Pahrump,36.2083,-115.9839,46.99,65,1,1.3,US,1612111929
Vung Tau,10.346,107.0843,76.66,80,96,23.35,VN,1612111930
Santiago,-33.4569,-70.6483,75.99,77,90,6.87,CL,1612111731
Shelburne,44.0787,-80.2041,19.0,88,100,11.97,CA,1612111930
Languyan,5.2618,120.0807,79.39,85,100,10.36,PH,1612111930
Sesheke,-17.4759,24.2968,73.42,87,100,2.51,ZM,1612111930
Dragomireşti,44.9167,25.3333,37.0,84,100,7.07,RO,1612111930
Betsiamites,48.9413,-68.646,21.2,68,90,6.91,CA,1612111931
Manali,13.1667,80.2667,78.8,73,40,4.61,IN,1612111931
Oistins,13.0667,-59.5333,84.2,61,40,24.16,BB,1612111677
Egvekinot,66.3167,-179.1667,-13.5,87,100,17.58,RU,1612111931
Kampot,10.6167,104.1833,75.2,88,43,3.44,KH,1612111931
Guhāgar,17.4842,73.1929,75.52,53,0,7.07,IN,1612111931
Alexandria,31.2156,29.9553,68.0,49,0,5.75,EG,1612111653
Penzance,50.1186,-5.5371,50.0,93,75,6.91,GB,1612111932
Kununurra,-15.7667,128.7333,78.8,85,75,3.44,AU,1612111932
Faanui,-16.4833,-151.75,80.98,74,100,10.54,PF,1612111932
Pevek,69.7008,170.3133,-27.85,84,75,1.88,RU,1612111932
Imbituba,-28.24,-48.6703,89.6,51,0,6.91,BR,1612111932
Pitimbu,-7.4706,-34.8086,87.8,58,75,16.11,BR,1612111932
Kéfalos,36.7453,26.9589,60.8,72,40,14.97,GR,1612111932
Barcelos,41.5388,-8.6151,57.2,100,90,5.75,PT,1612111933
Uribia,11.7139,-72.266,88.3,49,97,29.35,CO,1612111933
Tsimmerbude,54.675,20.1347,30.2,86,75,11.18,RU,1612111933
Bambous Virieux,-20.3428,57.7575,82.4,74,75,11.5,MU,1612111933
Sibolga,1.7427,98.7792,75.78,82,90,4.63,ID,1612111647
Saint-Augustin,51.226,-58.6502,27.72,91,100,11.34,CA,1612111934
Smolenka,52.1352,113.4974,-13.0,53,10,8.95,RU,1612111934
Lázaro Cárdenas,17.9583,-102.2,83.55,58,2,4.56,MX,1612111702
Westport,41.1415,-73.3579,21.99,49,1,8.05,US,1612111643
Ilulissat,69.2167,-51.1,8.6,61,90,20.71,GL,1612111729
Cap Malheureux,-19.9842,57.6142,81.0,72,35,8.01,MU,1612111935
Les Cayes,18.2,-73.75,82.54,56,25,6.06,HT,1612111935
Okato,-39.2,173.8833,48.99,67,1,7.0,NZ,1612111935
Tuatapere,-46.1333,167.6833,52.83,82,98,4.59,NZ,1612111935
Sitka,57.0531,-135.33,33.8,69,75,3.44,US,1612111930
Magistral'nyy,56.1725,107.4458,-38.96,79,97,2.53,RU,1612111936
Mongo,12.1844,18.693,80.89,16,0,4.38,TD,1612111936
Port-Gentil,-0.7193,8.7815,86.0,74,40,6.91,GA,1612111936
Along,28.1667,94.7667,49.78,62,1,1.83,IN,1612111936
East London,-33.0153,27.9116,77.0,83,75,8.05,ZA,1612111714
Anadyr,64.75,177.4833,5.0,85,90,33.55,RU,1612111937
Mildura,-34.2,142.15,68.0,68,100,3.44,AU,1612111937
Yarkovo,57.4028,67.0786,8.38,95,66,2.62,RU,1612111937
Laguna,38.421,-121.4238,53.6,76,90,3.44,US,1612111937
Ponta do Sol,32.6667,-17.1,64.0,63,0,5.01,PT,1612111937
Pachino,36.7186,15.0907,53.6,76,59,11.5,IT,1612111938
La Ronge,55.1001,-105.2842,14.0,85,90,3.44,CA,1612111938
Bathsheba,13.2167,-59.5167,84.2,61,40,24.16,BB,1612111850
Saint George,37.1041,-113.5841,33.8,86,1,3.76,US,1612111723
Roald,62.5833,6.1333,30.2,100,90,9.22,NO,1612111938
Tiksi,71.6872,128.8694,-26.5,86,100,6.44,RU,1612111715
Bubaque,11.2833,-15.8333,79.07,67,84,12.39,GW,1612111938
Longyan,25.1072,117.0225,57.0,60,0,3.0,CN,1612111939
Chicama,-7.8447,-79.1469,69.8,83,0,11.5,PE,1612111939
Quelimane,-17.8786,36.8883,86.0,70,20,13.8,MZ,1612111939
Binzhou,37.3667,118.0167,48.99,36,37,1.01,CN,1612111939
Cabo San Lucas,22.8909,-109.9124,68.0,83,75,3.44,MX,1612111934
La Spezia,44.1105,9.8434,52.0,69,18,9.06,IT,1612111939
Jieshi,22.8134,115.8257,59.77,85,12,7.96,CN,1612111940
Tharād,24.3961,71.6267,58.55,36,0,3.85,IN,1612111940
Lüderitz,-26.6481,15.1594,69.66,62,0,24.07,NA,1612111940
Haines Junction,60.7522,-137.5108,-14.8,76,87,1.74,CA,1612111940
Bam,29.106,58.357,57.34,37,0,2.89,IR,1612111940
Leningradskiy,69.3833,178.4167,-22.63,84,64,8.59,RU,1612111940
Miraflores,19.2167,-98.8083,66.2,36,1,5.55,MX,1612111940
Cuamba,-14.8031,36.5372,73.11,93,95,5.26,MZ,1612111941
Bauska,56.4075,24.1906,28.4,74,90,4.61,LV,1612111941
Soe,-9.8607,124.284,67.44,100,100,4.12,ID,1612111941
Vrangel',42.7297,133.0839,22.8,97,100,9.46,RU,1612111941
Vardø,70.3705,31.1107,26.6,93,75,13.8,NO,1612111941
Salym,60.0625,71.4789,5.94,95,97,4.52,RU,1612111941
Dombarovskiy,50.7587,59.5386,11.88,94,46,5.73,RU,1612111942
Foumban,5.7291,10.9001,81.34,23,5,2.04,CM,1612111942
Isangel,-19.55,169.2667,77.95,82,63,14.07,VU,1612111942
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,81.0,67,100,4.0,AR,1612111942
Mandeville,18.0417,-77.5071,77.0,83,75,11.5,JM,1612111886
Robertsport,6.7533,-11.3686,82.26,76,31,10.2,LR,1612111942
Karpogory,64.0019,44.4451,16.34,97,100,6.44,RU,1612111942
Larsnes,62.2028,5.5773,30.99,93,75,2.71,NO,1612111943
Porto-Novo,6.4965,2.6036,87.8,74,40,16.11,BJ,1612111943
Bac Lieu,9.285,105.7244,76.69,81,98,12.91,VN,1612111943
Antofagasta,-23.65,-70.4,73.99,60,20,13.8,CL,1612111811
Ngunguru,-35.6167,174.5,55.0,93,0,3.0,NZ,1612111943
Fort-Shevchenko,44.5086,50.263,40.42,92,2,3.65,KZ,1612111943
Bulungu,-4.55,18.6,74.86,85,91,1.79,CD,1612111944
Panzhihua,26.5851,101.7128,46.99,57,0,1.52,CN,1612111944
Nyaunglebin,17.95,96.7333,71.73,77,80,3.74,MM,1612111944
Manoel Urbano,-8.8389,-69.2597,79.0,92,90,3.94,BR,1612111944
Sinnamary,5.3833,-52.95,80.11,75,46,14.12,GF,1612111944
Vetluga,57.8557,45.781,31.96,99,100,15.66,RU,1612111944
Tuktoyaktuk,69.4541,-133.0374,-31.0,75,75,2.3,CA,1612111944
Harnoli,32.2792,71.5539,57.38,34,17,5.08,PK,1612111827
Tosno,59.54,30.8775,24.8,93,75,4.47,RU,1612111945
Atar,20.5169,-13.0499,88.02,11,77,13.62,MR,1612111945
Bereket,39.2446,55.5154,49.69,61,0,7.56,TM,1612111945
Russell,32.3502,-85.1999,64.4,88,90,4.61,US,1612111945
North Bend,43.4065,-124.2243,48.99,100,90,4.61,US,1612111945
Datong,40.0936,113.2914,22.12,77,0,7.52,CN,1612111946
São João da Barra,-21.6403,-41.0511,89.6,45,0,18.41,BR,1612111946
Abu Kamal,34.4506,40.9171,53.58,59,4,12.66,SY,1612111946
